,LIWC_categories,Word,Efficient,Appraisal,Final,Resent
1,anger,resentment,,X,,X
2,anger,petty,X,,X,
3,anger,anger,,X,,
4,anger,stubborn,X,,X,
5,anger,angry,,X,,
6,anger,hate,,X,,
7,anger,revenge,X,,X,
8,anger,jealous,X,X,,
9,anger,mad,,X,,
10,anger,pissed,X,X,,
11,anger,resent,,X,,X
12,anger,bitterness,,X,,X
13,anger,resentful,,X,,X
14,anger,poison,,X,,X
15,anger,spite,,X,,X
16,anger,rage,,X,,
17,anger,annoying,X,X,,
18,anger,bitter,,X,,
19,anger,contempt,,X,,
20,anger,frustrating,,X,,
21,anger,punishment,,,X,
22,anger,stupidity,X,,,
23,anger,bitch,X,,,
24,anger,jealously,,X,,
25,anger,fight,X,,X,
26,anger,destroy,X,,X,
27,anger,murder,X,,X,
28,anger,kill,X,,X,
29,anger,hatred,,X,,
30,anger,jealousy,,X,,
31,anger,frustrated,,X,,
32,anger,confrontation,X,,X,
33,anger,spiteful,X,X,X,X
34,anger,frustration,,X,,
35,anger,offense,X,X,,
36,anger,aggressive,X,,X,
37,anger,despise,X,,X,
38,anger,stupid,X,,,
39,anger,annoyed,,X,,
40,anger,envy,,X,,
41,anger,cheating,X,,,
42,anger,rude,X,,,
43,anger,fucking,X,,,
44,anger,grudge,,X,,
45,anger,intimidation,X,,X,
46,anger,argument,X,,X,
47,anger,cheat,X,,,
48,anger,distrust,,X,,
49,anger,hostility,X,X,,
50,anger,stubborness,X,,,
51,anger,stubbornness,X,,,
52,anger,humiliating,X,X,X,
53,anger,lies,X,,,
54,anger,nasty,X,,,
55,anger,fighting,X,,X,
56,anger,argumentative,X,,X,
57,anger,screwed,X,X,X,
58,anger,enemy,X,,X,
59,anger,furious,,X,,
60,anger,hating,,X,,
61,anger,argue,X,,X,
62,anger,ridiculous,X,X,,
63,anger,arguments,X,,X,
64,anger,lied,X,,,
65,anger,fury,,X,,
66,anger,blame,X,,X,
67,anger,war,X,,X,
68,anger,distrustful,X,X,,
69,anger,aggression,X,,X,
70,anger,cheater,X,,X,
71,anger,angered,,X,,
72,anger,enemies,,X,X,
73,anger,fuck,X,X,,
74,anger,nagging,X,,,
75,anger,abuse,X,X,,
76,anger,pissy,X,,,
77,anger,hell,X,X,X,
78,anger,cruel,X,,,
79,anger,greed,X,,,
80,anger,dumb,,X,,
81,anger,feud,X,,X,
82,anger,cheated,X,,,